"service_id","date","exception_type"
"4814-000-0083-1","20241215","1"
"4814-000-0083-1","20241216","1"
"4814-000-0083-1","20241217","1"
"4814-000-0083-1","20241218","1"
"4814-000-0083-1","20241219","1"
"4814-000-0083-1","20241220","1"
"4814-000-0083-1","20241221","1"
"4814-000-0083-1","20241223","1"
"4814-000-0083-1","20241224","1"
"4814-000-0083-1","20241225","1"
"4814-000-0083-1","20241226","1"
"4814-000-0083-1","20241227","1"
"4814-000-0083-1","20241228","1"
"4814-000-0083-1","20241229","1"
"4814-000-0083-1","20241230","1"
"4814-000-0083-1","20241231","1"
"4814-000-0083-1","20250101","1"
"4814-000-0083-1","20250102","1"
"4814-000-0083-1","20250103","1"
"4814-000-0083-1","20250104","1"
"4814-000-0083-1","20250105","1"
"4814-000-0083-1","20250106","1"
"4814-000-0083-1","20250107","1"
"4814-000-0083-1","20250108","1"
"4814-000-0083-1","20250109","1"
"4814-000-0083-1","20250110","1"
"4814-000-0083-1","20250111","1"
"4814-000-0083-1","20250112","1"
"4814-000-0083-1","20250113","1"
"4814-000-0083-1","20250114","1"
"4814-000-0083-1","20250115","1"
"4814-000-0083-1","20250116","1"
"4814-000-0083-1","20250117","1"
"4814-000-0083-1","20250118","1"
"4814-000-0083-1","20250119","1"
"4814-000-0083-1","20250120","1"
"4814-000-0083-1","20250121","1"
"4814-000-0083-1","20250122","1"
"4814-000-0083-1","20250123","1"
"4814-000-0083-1","20250124","1"
"4814-000-0083-1","20250125","1"
"4814-000-0083-1","20250126","1"
"4814-000-0083-1","20250127","1"
"4814-000-0083-1","20250128","1"
"4814-000-0083-1","20250129","1"
"4814-000-0083-1","20250130","1"
"4814-000-0083-1","20250131","1"
"4814-000-0083-1","20250201","1"
"4814-000-0083-1","20250202","1"
"4814-000-0083-1","20250203","1"
"4814-000-0083-1","20250204","1"
"4814-000-0083-1","20250205","1"
"4814-000-0083-1","20250206","1"
"4814-000-0083-1","20250207","1"
"4814-000-0083-1","20250208","1"
"4814-000-0083-1","20250209","1"
"4814-000-0083-1","20250210","1"
"4814-000-0083-1","20250211","1"
"4814-000-0083-1","20250212","1"
"4814-000-0083-1","20250213","1"
"4814-000-0083-1","20250214","1"
"4814-000-0083-1","20250215","1"
"4814-000-0083-1","20250216","1"
"4814-000-0083-1","20250217","1"
"4814-000-0083-1","20250218","1"
"4814-000-0083-1","20250219","1"
"4814-000-0083-1","20250220","1"
"4814-000-0083-1","20250221","1"
"4814-000-0083-1","20250222","1"
"4814-000-0083-1","20250223","1"
"4814-000-0083-1","20250224","1"
"4814-000-0083-1","20250225","1"
"4814-000-0083-1","20250226","1"
"4814-000-0083-1","20250227","1"
"4814-000-0083-1","20250228","1"
"4814-000-0083-1","20250301","1"
"4814-000-0083-1","20250302","1"
"4814-000-0083-1","20250303","1"
"4814-000-0083-1","20250304","1"
"4814-000-0083-1","20250305","1"
"4814-000-0083-1","20250306","1"
"4814-000-0083-1","20250307","1"
"4814-000-0083-1","20250308","1"
"4814-000-0083-1","20250309","1"
"4814-000-0083-1","20250310","1"
"4814-000-0083-1","20250311","1"
"4814-000-0083-1","20250312","1"
"4814-000-0083-1","20250313","1"
"4814-000-0083-1","20250314","1"
"4814-000-0083-1","20250315","1"
"4814-000-0083-1","20250316","1"
"4814-000-0083-1","20250317","1"
"4814-000-0083-1","20250318","1"
"4814-000-0083-1","20250319","1"
"4814-000-0083-1","20250320","1"
